unset key
set xrange[-10:70]
set yrange[-10:70]
set size ratio -1
set parametric
set trange [0:7]
set isosamples 12
20 10
19.9991 10.003
19.9981 10.006
19.9972 10.0091
19.9963 10.0121
19.9954 10.0151
19.9944 10.0181
19.9935 10.0212
19.9926 10.0242
19.9917 10.0272
19.9907 10.0302
19.9898 10.0333
19.9889 10.0363
19.9879 10.0393
19.987 10.0423
19.9861 10.0453
19.9852 10.0484
19.9842 10.0514
19.9833 10.0544
19.9824 10.0574
19.9815 10.0605
19.9805 10.0635
19.9796 10.0665
19.9787 10.0695
19.9777 10.0726
19.9768 10.0756
19.9759 10.0786
19.975 10.0816
19.974 10.0847
19.9731 10.0877
19.9722 10.0907
19.9713 10.0937
19.9703 10.0967
19.9694 10.0998
19.9685 10.1028
19.9675 10.1058
19.9666 10.1088
19.9657 10.1119
19.9648 10.1149
19.9638 10.1179
19.9629 10.1209
19.962 10.124
19.9611 10.127
19.9601 10.13
19.9592 10.133
19.9583 10.136
19.9573 10.1391
19.9564 10.1421
19.9555 10.1451
19.9546 10.1481
19.9536 10.1512
19.9527 10.1542
19.9518 10.1572
19.9508 10.1602
19.9499 10.1633
19.949 10.1663
19.9481 10.1693
19.9471 10.1723
19.9462 10.1753
19.9453 10.1784
19.9444 10.1814
19.9434 10.1844
19.9425 10.1874
19.9416 10.1905
19.9406 10.1935
19.9397 10.1965
19.9388 10.1995
19.9379 10.2026
19.9369 10.2056
19.936 10.2086
19.9351 10.2116
19.9342 10.2147
19.9332 10.2177
19.9323 10.2207
19.9314 10.2237
19.9304 10.2267
19.9295 10.2298
19.9286 10.2328
19.9277 10.2358
19.9267 10.2388
19.9258 10.2419
19.9249 10.2449
19.924 10.2479
19.923 10.2509
19.9221 10.254
19.9212 10.257
19.9202 10.26
19.9193 10.263
19.9184 10.266
19.9175 10.2691
19.9165 10.2721
19.9156 10.2751
19.9147 10.2781
19.9138 10.2812
19.9128 10.2842
19.9119 10.2872
19.911 10.2902
19.91 10.2933
19.9091 10.2963
19.9082 10.2993
19.9073 10.3023
19.9063 10.3053
19.9054 10.3084
19.9045 10.3114
19.9036 10.3144
19.9026 10.3174
19.9017 10.3205
19.9008 10.3235
19.8998 10.3265
19.8989 10.3295
19.898 10.3326
19.8971 10.3356
19.8961 10.3386
19.8952 10.3416
19.8943 10.3446
19.8934 10.3477
19.8924 10.3507
19.8915 10.3537
19.8906 10.3567
19.8896 10.3598
19.8887 10.3628
19.8878 10.3658
19.8869 10.3688
19.8859 10.3719
19.885 10.3749
19.8841 10.3779
19.8832 10.3809
19.8822 10.384
19.8813 10.387
19.8804 10.39
19.8794 10.393
19.8785 10.396
19.8776 10.3991
19.8767 10.4021
19.8757 10.4051
19.8748 10.4081
19.8739 10.4112
19.873 10.4142
19.872 10.4172
19.8711 10.4202
19.8702 10.4233
19.8692 10.4263
19.8683 10.4293
19.8674 10.4323
19.8665 10.4353
19.8655 10.4384
19.8646 10.4414
19.8637 10.4444
19.8628 10.4474
19.8618 10.4505
19.8609 10.4535
19.86 10.4565
19.859 10.4595
19.8581 10.4626
19.8572 10.4656
19.8563 10.4686
19.8553 10.4716
19.8544 10.4746
19.8535 10.4777
19.8525 10.4807
19.8516 10.4837
19.8507 10.4867
19.8498 10.4898
19.8488 10.4928
19.8479 10.4958
19.847 10.4988
19.8461 10.5019
19.8451 10.5049
19.8442 10.5079
19.8433 10.5109
19.8423 10.514
19.8414 10.517
19.8405 10.52
19.8396 10.523
19.8386 10.526
19.8377 10.5291
19.8368 10.5321
19.8359 10.5351
19.8349 10.5381
19.834 10.5412
19.8331 10.5442
19.8321 10.5472
19.8312 10.5502
19.8303 10.5533
19.8294 10.5563
19.8284 10.5593
19.8275 10.5623
19.8266 10.5653
19.8257 10.5684
19.8247 10.5714
plot 0,0  , 8.57143*t,0 , 8.57143*t,60 , 0,8.57143*t , 60,8.57143*t , 10.5914+2*cos(t),9.89391+2*sin(t) , 19.8238+2*cos(t),10.5744+2*sin(t) , 30.5986+2*cos(t),9.9477+2*sin(t) , 39.793+2*cos(t),10.5641+2*sin(t) , 49.6599+2*cos(t),10.4953+2*sin(t) , 9.49031+2*cos(t),20.3181+2*sin(t) , 19.4114+2*cos(t),20.1206+2*sin(t) , 30.1981+2*cos(t),19.4328+2*sin(t) , 40.5683+2*cos(t),19.8051+2*sin(t) , 49.5071+2*cos(t),20.3436+2*sin(t) , 9.60501+2*cos(t),29.5473+2*sin(t) , 19.401+2*cos(t),29.953+2*sin(t) , 29.4095+2*cos(t),29.8888+2*sin(t) , 40.4488+2*cos(t),30.3995+2*sin(t) , 50.6003+2*cos(t),29.9755+2*sin(t) , 9.40312+2*cos(t),40.0688+2*sin(t) , 20.4631+2*cos(t),40.3828+2*sin(t) , 29.4011+2*cos(t),40.0482+2*sin(t) , 39.4032+2*cos(t),40.0693+2*sin(t) , 50.6001+2*cos(t),39.9713+2*sin(t) , 9.84803+2*cos(t),49.4187+2*sin(t) , 20.1087+2*cos(t),49.4091+2*sin(t) , 30.1656+2*cos(t),49.4224+2*sin(t) , 40.3842+2*cos(t),50.462+2*sin(t) , 49.8119+2*cos(t),49.4294+2*sin(t)
19.8238 10.5744
19.8229 10.5774
19.8219 10.5805
19.821 10.5835
19.8201 10.5865
19.8192 10.5895
19.8182 10.5926
19.8173 10.5956
19.8164 10.5986
19.8155 10.6016
19.8145 10.6046
19.8136 10.6077
19.8127 10.6107
19.8117 10.6137
19.8108 10.6167
19.8099 10.6198
19.809 10.6228
19.808 10.6258
19.8071 10.6288
19.8062 10.6319
19.8053 10.6349
19.8043 10.6379
19.8034 10.6409
19.8025 10.644
19.8015 10.647
19.8006 10.65
19.7997 10.653
19.7988 10.656
19.7978 10.6591
19.7969 10.6621
19.796 10.6651
19.7951 10.6681
19.7941 10.6712
19.7932 10.6742
19.7923 10.6772
19.7913 10.6802
19.7904 10.6833
19.7895 10.6863
19.7886 10.6893
19.7876 10.6923
19.7867 10.6953
19.7858 10.6984
19.7849 10.7014
19.7839 10.7044
19.783 10.7074
19.7821 10.7105
19.7811 10.7135
19.7802 10.7165
19.7793 10.7195
19.7784 10.7226
19.7774 10.7256
19.7765 10.7286
19.7756 10.7316
19.7747 10.7346
19.7737 10.7377
19.7728 10.7407
19.7719 10.7437
19.7709 10.7467
19.77 10.7498
19.7691 10.7528
19.7682 10.7558
19.7672 10.7588
19.7663 10.7619
19.7654 10.7649
19.7645 10.7679
19.7635 10.7709
19.7626 10.774
19.7617 10.777
19.7607 10.78
19.7598 10.783
19.7589 10.786
19.758 10.7891
19.757 10.7921
19.7561 10.7951
19.7552 10.7981
19.7542 10.8012
19.7533 10.8042
19.7524 10.8072
19.7515 10.8102
19.7505 10.8133
19.7496 10.8163
19.7487 10.8193
19.7478 10.8223
19.7468 10.8253
19.7459 10.8284
19.745 10.8314
19.744 10.8344
19.7431 10.8374
19.7422 10.8405
19.7413 10.8435
19.7403 10.8465
19.7394 10.8495
19.7385 10.8526
19.7376 10.8556
19.7366 10.8586
19.7357 10.8616
19.7348 10.8646
19.7338 10.8677
19.7329 10.8707
19.732 10.8737
19.7311 10.8767
19.7301 10.8798
19.7292 10.8828
19.7283 10.8858
19.7274 10.8888
19.7264 10.8919
19.7255 10.8949
19.7246 10.8979
19.7236 10.9009
19.7227 10.904
19.7218 10.907
19.7209 10.91
19.7199 10.913
19.719 10.916
19.7181 10.9191
19.7172 10.9221
19.7162 10.9251
19.7153 10.9281
19.7144 10.9312
19.7134 10.9342
19.7125 10.9372
19.7116 10.9402
19.7107 10.9433
19.7097 10.9463
19.7088 10.9493
19.7079 10.9523
19.707 10.9553
19.706 10.9584
19.7051 10.9614
19.7042 10.9644
19.7032 10.9674
19.7023 10.9705
